index,Actual_NAV,Synthetic_NAV,Actual_Returns,Synthetic_Returns
2004-08-03,2.76,2.9208702321265756,0.003629768050578731,-0.0016874558415900655
2004-08-04,2.71,2.8938998241917355,-0.01828204483744907,-0.00927658396975378
2004-08-05,2.73,2.8743092177773404,0.007352974305258733,-0.00679263930887211
2004-08-06,2.73,2.8557052114580252,0.0,-0.006493551428440385
2004-08-07,2.73,2.8451314242257224,0.0,-0.003709560555187205
2004-08-08,2.73,2.8355105861985956,0.0,-0.0033872394029077347
2004-08-09,2.65,2.8397123848072128,-0.02974196919873753,0.0014807521740843625
2004-08-10,2.66,2.8517453258945893,0.0037664827954768648,0.004228427804507165
2004-08-11,2.66,2.8665056393505006,0.0,0.005162538800072632
2004-08-12,2.7,2.877497853177122,0.014925650216675792,0.003827374847344052
2004-08-13,2.69,2.888365880593729,-0.003710579396535713,0.003769787420982712
2004-08-14,2.69,2.9006468422252403,0.0,0.004242858201512889
2004-08-15,2.69,2.8918442029486435,0.0,-0.003039330051325036
2004-08-16,2.72,2.876788236046141,0.011090686694158356,-0.005219955075558983
2004-08-17,2.66,2.870185973143598,-0.022305757514298277,-0.0022976493600883746
2004-08-18,2.62,2.8418752664394247,-0.01515180502060222,-0.009912687324968474
2004-08-19,2.65,2.8118421129510347,0.01138532222512521,-0.01062431457905672
2004-08-20,2.685,2.795061417891993,0.013121087962697276,-0.0059857442061736175
2004-08-21,2.685,2.797645517000183,0.0,0.0009240960851926163
2004-08-22,2.685,2.786753763613518,0.0,-0.0039007838265861347
2004-08-23,2.68,2.7930504148246023,-0.001863933438062642,0.0022569443953745325
2004-08-24,2.645,2.794223877580314,-0.013145729212502616,0.0004200483855108661
2004-08-25,2.605,2.7996279163920095,-0.015238390104932498,0.001932135741848548
2004-08-26,2.585,2.789193116293845,-0.007707167244937778,-0.0037341729722292784
2004-08-27,2.63,2.7837804646905764,0.017258338229280783,-0.0019424650867327963
2004-08-28,2.63,2.779280691140552,0.0,-0.0016177332606370335
2004-08-29,2.63,2.7766341331883537,0.0,-0.0009526993253334699
2004-08-30,2.63,2.771655861443032,0.0,-0.0017945251910437274
2004-08-31,2.63,2.7732679561155935,0.0,0.0005814668590676603
2004-09-01,2.6,2.7813158896898442,-0.011472401162236696,0.002897764955657934
2004-09-02,2.64,2.7929709844147306,0.01526747213078838,0.004181740901556427
2004-09-03,2.685,2.807896051997164,0.016901810802603254,0.005329568730483533
2004-09-04,2.685,2.8209222573167367,0.0,0.00462840612642037
2004-09-05,2.685,2.8265844003137666,0.0,0.0020051839643454045
2004-09-06,2.675,2.816643650818706,-0.003731347612858247,-0.003523075688980452
2004-09-07,2.67,2.8130478337414373,-0.00187090793581162,-0.0012774474679912507
2004-09-08,2.655,2.8045133367672173,-0.00563381771825602,-0.003038508449280991
2004-09-09,2.62,2.7959788397929968,-0.013270336920896585,-0.0030477691286766783
2004-09-10,2.605,2.7882180387234357,-0.005741642567675283,-0.002779560332498927
2004-09-11,2.605,2.7867544576260013,0.0,-0.0005250541171338282
2004-09-12,2.605,2.778495541184923,0.0,-0.002968032884677548
2004-09-13,2.59,2.772609238863388,-0.005774799493883908,-0.002120768661729013
2004-09-14,2.555,2.753260891662223,-0.013605652055778485,-0.007002852334283738
2004-09-15,2.54,2.7368302725059275,-0.0058881426252225975,-0.005985572086156365
2004-09-16,2.54,2.723269486967906,0.0,-0.004967240167039847
2004-09-17,2.54,2.710159104355737,0.0,-0.004825832468543798
2004-09-18,2.54,2.6997502332639414,0.0,-0.0038480807298263563
2004-09-19,2.54,2.695350476508451,0.0,-0.0016310196852796618
2004-09-20,2.54,2.6908479052590453,0.0,-0.0016718924848572669
2004-09-21,2.54,2.6900810682532397,0.0,-0.00028502030588833287
2004-09-22,2.54,2.6918771832539057,0.0,0.0006674578223805719
2004-09-23,2.54,2.693537852511606,0.0,0.0006167284412837661
2004-09-24,2.54,2.702651452312631,0.0,0.0033777941993270904
