index,Actual_NAV,Synthetic_NAV,Normalized_Actual_NAV,Normalized_Synthetic_NAV,BS_Theoretical,Actual_Returns,Synthetic_Returns,Time_To_Expiry
2015-01-02,17.0,86.68779395439331,100.0,86.68779395439331,29.43566472431621,0.0,-0.14285709695246518,0.038356164383561646
2015-01-03,17.0,91.03415225571601,100.0,91.03415225571601,28.336114349901436,0.0,0.04892164658733947,0.03561643835616438
2015-01-04,17.0,100.31081159479787,100.0,100.31081159479787,27.195683373926613,0.0,0.0970387461059904,0.03287671232876712
2015-01-05,17.0,124.14991478645189,100.0,124.14991478645189,28.4886160746031,0.0,0.21321634384924412,0.030136986301369864
2015-01-06,17.0,143.8469362164927,100.0,143.8469362164927,28.4554047985107,0.0,0.14725996573228908,0.0273972602739726
2015-01-07,47.3,155.3649915666793,278.2352941176471,155.3649915666793,24.994322832859325,1.0232969514416712,0.07702734175012273,0.024657534246575342
2015-01-08,47.3,164.08771040242007,278.2352941176471,164.08771040242007,21.171186993957235,0.0,0.05462397132554625,0.021917808219178082
2015-01-09,47.3,163.95205443643246,278.2352941176471,163.95205443643246,20.205779249560237,0.0,-0.0008270703022065373,0.019178082191780823
2015-01-10,47.3,157.05168807384507,278.2352941176471,157.05168807384507,18.680984720377637,0.0,-0.04299905951748852,0.01643835616438356
2015-01-11,47.3,157.78320405732043,278.2352941176471,157.78320405732043,17.027564040752168,0.0,0.004646990013829868,0.0136986301369863
2015-01-12,47.3,166.11456706760907,278.2352941176471,166.11456706760907,16.813246108420344,0.0,0.05145574878113693,0.010958904109589041
2015-01-13,47.3,174.3997592040177,278.2352941176471,174.3997592040177,16.78441403821091,0.0,0.048672417401588355,0.01
2015-01-14,48.95,183.24759731769544,287.9411764705883,183.24759731769544,17.42040713824531,0.034289073478632165,0.049488098418170465,0.01
2015-01-15,48.95,184.89396017674161,287.9411764705883,184.89396017674161,17.968632461336938,0.0,0.008944243328131507,0.01
2015-01-16,48.95,185.0722349239279,287.9411764705883,185.0722349239279,17.06222736509278,0.0,0.0009637354079664038,0.01
2015-01-17,48.95,182.82925546795735,287.9411764705883,182.82925546795735,53.20438314922569,0.0,-0.01219352084924978,0.09315068493150686
